Name,Class,Model,Role,PV,BV,Type,Size,Tonnage,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,MULId
Clan Interface Armor (Sqd4),Clan Interface Armor,(Sqd4),Scout,6,37,BA,1,0.2,"6""f",0,0,0,0,0,2,"AM,CAR4,MEC",https://i.ibb.co/gFgLgXS/machina-domini-jfr.png,7387
Clan Interface Armor (Sqd5),Clan Interface Armor,(Sqd5),Scout,7,50,BA,1,0.2,"6""f",1,0,0,0,0,2,"CAR5,MEC",https://i.ibb.co/gFgLgXS/machina-domini-jfr.png,8828
Clan Interface Armor (Sqd6),Clan Interface Armor,(Sqd6),Scout,7,65,BA,1,0.2,"6""f",1,0,0,0,0,2,"CAR6,MEC",https://i.ibb.co/gFgLgXS/machina-domini-jfr.png,9191
Aerie PA(L) (Salvage) (Sqd4),Aerie PA(L),(Salvage) (Sqd4),Ambusher,10,27,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR4,SOA,STL",https://i.ibb.co/mccjbL8/aerie-3075.png,3673
Aerie PA(L) (Salvage) (Sqd5),Aerie PA(L),(Salvage) (Sqd5),Ambusher,10,37,BA,1,0.4,"6""j",0,0,0,0,0,2,"CAR5,SOA,STL",https://i.ibb.co/mccjbL8/aerie-3075.png,8600
Aerie PA(L) (Salvage) (Sqd6),Aerie PA(L),(Salvage) (Sqd6),Ambusher,10,47,BA,1,0.4,"6""j",1,0,0,0,0,2,"CAR6,SOA,STL",https://i.ibb.co/mccjbL8/aerie-3075.png,8964
Aerie PA(L) (Sqd4),Aerie PA(L),(Sqd4),Ambusher,10,27,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR4,MEC,SOA,STL",https://i.ibb.co/mccjbL8/aerie-3075.png,3674
Aerie PA(L) (Sqd5),Aerie PA(L),(Sqd5),Ambusher,10,37,BA,1,0.4,"6""j",0,0,0,0,0,2,"AM,CAR5,MEC,SOA,STL",https://i.ibb.co/mccjbL8/aerie-3075.png,8601
Aerie PA(L) (Sqd6),Aerie PA(L),(Sqd6),Ambusher,10,47,BA,1,0.4,"6""j",1,0,0,0,0,2,"AM,CAR6,MEC,SOA,STL",https://i.ibb.co/mccjbL8/aerie-3075.png,8965
Ailette Rescue PA(L) (Sqd4),Ailette,Rescue PA(L) (Sqd4),Ambusher,8,28,BA,1,0.4,"4""f",0,0,0,0,0,2,"CAR4,RCN,SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,5579
Ailette Rescue PA(L) (Sqd5),Ailette,Rescue PA(L) (Sqd5),Ambusher,8,38,BA,1,0.4,"4""f",0,0,0,0,0,2,"CAR5,RCN,SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,8708
Ailette Rescue PA(L) (Sqd6),Ailette,Rescue PA(L) (Sqd6),Ambusher,8,49,BA,1,0.4,"4""f",0,0,0,0,0,2,"CAR6,RCN,SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,9072
Ailette Zero-G Engineering Exoskeleton (Sqd4),Ailette Zero-G Engineering Exoskeleton,(Sqd4),None,5,20,BA,1,0.4,"2""f",0,0,0,0,0,2,"CAR4,SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,3683
Ailette Zero-G Engineering Exoskeleton (Sqd5),Ailette Zero-G Engineering Exoskeleton,(Sqd5),None,6,27,BA,1,0.4,"4""f",0,0,0,0,0,2,"CAR5,SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,8605
Ailette Zero-G Engineering Exoskeleton (Sqd6),Ailette Zero-G Engineering Exoskeleton,(Sqd6),None,6,35,BA,1,0.4,"4""f",0,0,0,0,0,2,"CAR6,SOA",https://i.ibb.co/mzNkVJ8/ailette-trva.png,8969
Gladiator Battle Armor S (Sqd4),Gladiator Battle Armor,S (Sqd4),Scout,7,47,BA,1,0.4,"8""f",1,0,0,0,0,2,"AM,CAR4,XMEC",https://i.ibb.co/qxsfX2D/gladiator-s-proto.png,4215
Gladiator Battle Armor S (Sqd5),Gladiator Battle Armor,S (Sqd5),Scout,7,63,BA,1,0.4,"8""f",1,0,0,0,0,2,"AM,CAR5,XMEC",https://i.ibb.co/qxsfX2D/gladiator-s-proto.png,8619
Gladiator Battle Armor S (Sqd6),Gladiator Battle Armor,S (Sqd6),Scout,7,81,BA,1,0.4,"8""f",1,0,0,0,0,2,"AM,CAR6,XMEC",https://i.ibb.co/qxsfX2D/gladiator-s-proto.png,8983
