Name,Class,Model,Role,PV,BV,Type,Size,Tonnage,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,MULId,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Ferret Light Scout VTOL  ,Ferret Light Scout VTOL, ,Scout,8,58,CV,1,5,"30""v",0,0,0,0,0,1,"ATMO,EE,IT1,SRCH",https://i.ibb.co/fQ8fzGB/ferret-3039.png,1060,,,,,,,,,,,
"Ferret Light Scout VTOL ""Fermi""",Ferret Light Scout VTOL,"""Fermi""",Scout,8,108,CV,1,5,"30""v",0,0,0,0,0,1,"ATMO,ECM,ENE,IT1,SRCH,STL",https://i.ibb.co/fQ8fzGB/ferret-3039.png,5605,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns,Federated Suns,Extinct,Extinct
"Ferret Light Scout VTOL (Armor) ""Wild Weasel""",Ferret Light Scout VTOL,"(Armor) ""Wild Weasel""",Scout,11,103,CV,1,5,"30""v",0,0,0,0,1,1,"ATMO,EE,SRCH",https://i.ibb.co/fQ8fzGB/ferret-3039.png,1058,Unknown,Unknown,"Federated Suns, Free Worlds League, Lyran Commonwealth","Federated Suns, Free Worlds League, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Free Worlds League, Lyran Alliance, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance",Federated Suns,Federated Suns,Federated Suns,Federated Suns
Ferret Light Scout VTOL (Cargo),Ferret Light Scout VTOL,(Cargo),None,6,17,CV,1,5,"30""v",0,0,0,0,0,1,"ATMO,CT2.5,EE,ENE,SRCH",https://i.ibb.co/fQ8fzGB/ferret-3039.png,1059,Unknown,Unknown,"Federated Suns, Lyran Commonwealth","Federated Suns, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance",Federated Suns,Federated Suns,Federated Suns,Federated Suns
Gabriel Reconnaissance Hovercraft  ,Gabriel Reconnaissance Hovercraft, ,Scout,15,198,CV,1,5,"26""h",1,1,0,0,1,1,"ENE,SRCH,TUR(1/1/-)",https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,1165,,,,,,,,,,,
Gabriel Reconnaissance Hovercraft (ERSL),Gabriel Reconnaissance Hovercraft,(ERSL),Scout,15,162,CV,1,5,"26""h",1,1,0,0,1,1,"ENE,SRCH,TUR(1/1/-)",https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,1164,Unknown,Unknown,Unknown,Unknown,Unknown,Taurian Concordat,"Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat"
Gabriel Reconnaissance Hovercraft (TDF),Gabriel Reconnaissance Hovercraft,(TDF),Scout,12,168,CV,1,5,"26""h",0,0,0,0,1,1,"ENE,SRCH,TUR(0*/0*/0*)",https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,1166,Unknown,Unknown,Unknown,Unknown,Unknown,Taurian Concordat,"Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat"
Savannah Master Hovercraft  ,Savannah Master Hovercraft, ,Scout,15,215,CV,1,5,"26""h",1,1,0,0,1,1,"ENE,SRCH",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,2807,,,,,,,,,,,
Savannah Master Hovercraft (Interdictor),Savannah Master Hovercraft,(Interdictor),Scout,11,128,CV,1,5,"26""h",0,0,0,0,1,1,"ECM,ENE,SRCH",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,2805,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Draconis Combine, Federated Suns, Lyran Alliance, Mercenary","Draconis Combine, Federated Suns, Lyran Commonwealth, Mercenary","Draconis Combine, Federated Suns, Lyran Commonwealth, Mercenary","Draconis Combine, Federated Suns, Lyran Commonwealth, Mercenary","Draconis Combine, Federated Suns, Lyran Commonwealth, Mercenary, Tamar Pact, Vesper Marches"
Savannah Master Hovercraft (Reflective),Savannah Master Hovercraft,(Reflective),Scout,15,294,CV,1,5,"26""h",1,1,0,0,1,1,"ENE,RFA,SRCH",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,9452,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Lyran Commonwealth, Mercenary","Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Kell Hounds, Lyran Commonwealth, Mercenary","Clan Wolf, Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Clan Protectorate, Inner Sphere General, Kell Hounds, Mercenary, Wolf Empire, Wolf's Dragoons"
Savannah Master Hovercraft (SL),Savannah Master Hovercraft,(SL),Scout,12,131,CV,1,5,"26""h",1,0,0,0,1,1,"ENE,SRCH",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,2806,Unknown,Unknown,Unknown,Lyran Commonwealth,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Skimmer   ,Skimmer,  ,Scout,7,86,cv,1,5,"26""h",0,0,0,0,0,1,"ENE,REAR0*/-/-,SRCH",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,5065,,,,,,,,,,,
Swift Wind Scout Car  ,Swift Wind Scout Car, ,Scout,12,83,CV,1,8,"20""w",0,0,0,0,1,1,"CT0.5,ENE,MHQ2,RCN,SRCH",https://i.ibb.co/rmQfRg4/swift-wind-3039.png,3145,,,,,,,,,,,
