UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,CAR,BA,PMECH,TUR,AMS,ECM2,ECM6,PRB,IF,APC,ART,STL,MHQ,,,,,,,,,,SpecialRules,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7,,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
BattleArmor,IS Standard Battle Armor,IS Standard Battle Armor [MG],!,IS Standard Battle Armor,[MG],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Aegis Point Defense Suit,Aegis Point Defense Suit,,Aegis Point Defense Suit,,,10,,BattleArmor,,,,,,,,3F,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC RAMS STL,CAR4,"MECH, NIMB, SPOT, SWRM",,,AMS,,,,,,,STL,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM, AMS, STL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BattleArmor,Asura Medium Battle Armor,Asura Medium Battle Armor (Anti-Infantry),,Asura Medium Battle Armor,(Anti-Infantry),,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 LMAS MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Medium),4,2,1/2/3,Needler (Firedrake),4,1,1/2/3,,,,,,,,,,,,,,,,,,,,,4x2,4x1,,,,,,,,,,,,,,,,,
BattleArmor,Cavalier Battle Armor,Cavalier Battle Armor [Flamer],,Cavalier Battle Armor,[Flamer],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC HT1/-/-,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Cavalier Battle Armor,Cavalier Battle Armor [Laser],,Cavalier Battle Armor,[Laser],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Cavalier Battle Armor,Cavalier Battle Armor [MG],,Cavalier Battle Armor,[MG],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Djinn Battle Armor,Djinn Battle Armor,,Djinn Battle Armor,,,10,,BattleArmor,,,,,,,,4J,1,A,2,SS,+1,6,5,10,12,AM CAR4 LTAG MEC,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Djinn Battle Armor,Djinn Battle Armor (Reflective) 'Terrorizer' [Flamer],,Djinn Battle Armor,(Reflective) 'Terrorizer' [Flamer],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 HT1/-/- MEC RFA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
BattleArmor,Djinn Battle Armor,Djinn Battle Armor (Reflective) 'Terrorizer' [Laser],,Djinn Battle Armor,(Reflective) 'Terrorizer' [Laser],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC RFA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,,,,,,,,,,,,,
BattleArmor,Djinn Battle Armor,Djinn Battle Armor (Reflective) 'Terrorizer' [MG],,Djinn Battle Armor,(Reflective) 'Terrorizer' [MG],,10,,BattleArmor,,,,,,,,3J,1,A,2,SS,+1,6,5,10,12,AM CAR4 MEC RFA,CAR4,"MECH, NIMB, SPOT, SWRM",,,,,,,,,,,,,,,,,,,,,"CAR4, MECH, NIMB, SPOT, SWRM",,,,Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,,,,,
