UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,CAR,BA,PMECH,TUR,AMS,ECM2,ECM6,PRB,IF,APC,ART,STL,MHQ,SpecialRules,,,,,,,,,,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7,,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Emplacement,Emplacement (Heavy),Emplacement (Heavy),!,Emplacement,(Heavy),,,,,,,,,,,,0,4,AAAA,3,SSS,0,5,4,16,19,,,SPOT,,,,,,,,,,,,SPOT,,,,,,,,,,,,1x AC/20: 20DAM@3/6/9,AC/20,1,20,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,1x20,,,,,,,,,,,,,,,,,,
Emplacement,Emplacement (Light),Emplacement (Light),!,Emplacement,(Light),,,,,,,,,,,,0,4,AAAA,3,SSS,0,5,4,14,17,,,SPOT,,,,,,,,,,,,SPOT,,,,,,,,,,,,1x AC/10: 5DAM@5/10/15,AC/10,1,10,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,1x10,,,,,,,,,,,,,,,,,,
Emplacement,Emplacement (Medium),Emplacement (Medium),!,Emplacement,(Medium),,,,,,,,,,,,0,4,AAAA,3,SSS,0,5,4,26,31,,,SPOT,,,,,,,,,,,,SPOT,,,,,,,,,,,,1x AC/15: 10DAM@4/8/12,AC/15,1,15,4/8/12,,,,,,,,,,,,,,,,,,,,,,,,,1x15,,,,,,,,,,,,,,,,,,
Emplacement,Emplacement (MG),Emplacement (MG),!,Emplacement,(MG),,,,,,,,,,,,0,4,AAAA,3,SSS,0,5,4,14,17,,,SPOT,,,,,,,,,,,,SPOT,,,,,,,,,,,,1x Heavy Machine Gun@2/4/6,Heavy Machine Gun,5,1,2/4/6,,,,,,,,,,,,,,,,,,,,,,,,,5x1,,,,,,,,,,,,,,,,,,
Infantry,Foot Infantry,Foot Infantry,!,Foot Infantry,,,,,,,,,,,,,1F,2,AA,1,S,+1,6,5,4,5,CAR1,,"NIMB, SPOT, SWRM",,,,,,,,,,,,"NIMB, SPOT, SWRM",,,,,,,,,,,,5x Assault Rifle: 1DAM@1/2/3,Assault Rifle,5,1,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,5x1,,,,,,,,,,,,,,,,,,
Infantry,Jump Infantry,Jump Infantry,!,Jump Infantry,,,,,,,,,,,,,3J,1,A,1,S,+2,6,5,5,6,CAR4,,"NIMB, SPOT, SWRM",,,,,,,,,,,,"NIMB, SPOT, SWRM",,,,,,,,,,,,5x Assault Rifle: 1DAM@1/2/3,Assault Rifle,5,1,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,5x1,,,,,,,,,,,,,,,,,,
Infantry,Clan Foot Infantry,Clan Foot Infantry,!,Clan Foot Infantry,,,,,,,,,,,,,1F,2,AA,1,S,+1,5,4,5,6,CAR1,,"NIMB, SPOT, SWRM",,,,,,,,,,,,"NIMB, SPOT, SWRM",,,,,,,,,,,,5x Assault Rifle: 1DAM@1/2/3,Assault Rifle,5,1,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,5x1,,,,,,,,,,,,,,,,,,
Infantry,Clan Jump Infantry,Clan Jump Infantry,!,Clan Jump Infantry,,,,,,,,,,,,,3J,1,A,1,S,+2,5,4,6,7,CAR4,,"NIMB, SPOT, SWRM",,,,,,,,,,,,"NIMB, SPOT, SWRM",,,,,,,,,,,,5x Assault Rifle: 1DAM@1/2/3,Assault Rifle,5,1,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,5x1,,,,,,,,,,,,,,,,,,
Infantry,Clan Mechanized Infantry,Clan Mechanized Infantry,!,Clan Mechanized Infantry,,,,,,,,,,,,,4T,1,A,1,S,+1,5,4,8,9,CAR20,,"NIMB, SPOT, SWRM",,,,,,,,,,,,"NIMB, SPOT, SWRM",,,,,,,,,,,,5x Assault Rifle: 1DAM@1/2/3,Assault Rifle,5,1,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,5x1,,,,,,,,,,,,,,,,,,
Infantry,Mechanized Infantry,Mechanized Infantry,!,Mechanized Infantry,,,,,,,,,,,,,4T,1,A,1,S,+1,6,5,7,8,CAR20,,"NIMB, SPOT, SWRM",,,,,,,,,,,,"NIMB, SPOT, SWRM",,,,,,,,,,,,5x Assault Rifle: 1DAM@1/2/3,Assault Rifle,5,1,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,5x1,,,,,,,,,,,,,,,,,,
