UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,TUR,AMS,ECM2,ECM6,PRB,IF,APC,CAR,ART,STL,MHQ,,,,,SpecialRules,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7,,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Vehicle,AC/2 Carrier,AC/2 Carrier,,AC/2 Carrier,,Sniper,12,403,CV,3,60,"6""t",1,1,1,0,3T,2,AA,3,SSS,+1,6,5,12,14,"AC1/1/1,EE,SRCH",,,,,,,,,,,,,,,,,https://i.ibb.co/fQ8fzGB/ferret-3039.png,1060,AC/2 - 5x2 @ 8/16/24,AC/2,5,2,8/16/24,,,,,,,,,,,,,,,,,,,,,,,,,5x2,,,,,,,,,,,,,,,,,,
Vehicle,AC/2 Carrier (LB-X),AC/2 Carrier (LB-X),,AC/2 Carrier,(LB-X),Sniper,15,536,CV,3,60,"6""t",0,1,1,0,3T,3,AAA,3,SSS,+1,6,5,15,18,"C3S,FLK0*/1/1,MHQ1,SRCH",,,,,,,,,,,,,,,,,https://i.ibb.co/fQ8fzGB/ferret-3039.png,5605,"LB 2-X AC (Slug) - 5x2 @ 9/18/27
-- OR -- - x @ 
LB 2-X AC (Pellet) - 10x1 @ 9/18/27",LB 2-X AC (Slug),5,2,9/18/27,-- OR --,,,,LB 2-X AC (Pellet),10,1,9/18/27,,,,,,,,,,,,,,,,,5x2,,10x1,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns,Federated Suns,Extinct,Extinct
Vehicle,Aeron Strike VTOL,Aeron Strike VTOL,,Aeron Strike VTOL,,Scout,24,875,CV,1,25,"24""v",1,1,1,0,12V,2,AA,2,SS,+4,5,4,29,34,"ATMO,ECM,ENE,SRCH",,,,ECM,,,,,,,,,,,,ECM,https://i.ibb.co/fQ8fzGB/ferret-3039.png,1058,ER Large Laser - 1x8 @ 7/14/19,ER Large Laser,1,8,7/14/19,,,,,,,,,,,,,,,,,,,,,,,,,1x8,,,,,,,,Unknown,Unknown,"Federated Suns, Free Worlds League, Lyran Commonwealth","Federated Suns, Free Worlds League, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Free Worlds League, Lyran Alliance, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance",Federated Suns,Federated Suns,Federated Suns,Federated Suns
Vehicle,Aeron Strike VTOL (BAP),Aeron Strike VTOL (BAP),,Aeron Strike VTOL,(BAP),Scout,27,775,CV,1,25,"24""v",1,1,1,0,12V,2,AA,2,SS,+4,6,5,27,32,"ATMO,CT0.5,ECM,ENE,PRB,RCN,SRCH",,,,ECM,PRB,,,,,,,,,,,"ECM, PRB",https://i.ibb.co/fQ8fzGB/ferret-3039.png,1059,ER Large Laser - 1x8 @ 7/14/19,ER Large Laser,1,8,7/14/19,,,,,,,,,,,,,,,,,,,,,,,,,1x8,,,,,,,,Unknown,Unknown,"Federated Suns, Lyran Commonwealth","Federated Suns, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance, Lyran Commonwealth","Federated Commonwealth, Federated Suns, Lyran Alliance","Federated Suns, Lyran Alliance",Federated Suns,Federated Suns,Federated Suns,Federated Suns
Vehicle,Aesir Medium AA Vehicle,Aesir Medium AA Vehicle,,Aesir Medium AA Vehicle,,Sniper,19,768,CV,2,55,"6""w",0,1,1,0,3W,6,AAAAAA,3,SSS,+1,5,4,23,27,"ARS,CASE,FLK0*/1/1,SRCH,TUR(0*/1/1,FLK0*/1/1)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,1165,"LB 2-X AC (Slug) - 4x2 @ 10/20/30
-- OR -- - x @ 
LB 2-X AC (Pellet) - 8x1 @ 10/20/30",LB 2-X AC (Slug),4,2,10/20/30,-- OR --,,,,LB 2-X AC (Pellet),8,1,10/20/30,,,,,,,,,,,,,,,,,4x2,,8x1,,,,,,,,,,,,,,,,
Vehicle,Aesir Medium AA Vehicle (HAG),Aesir Medium AA Vehicle (HAG),,Aesir Medium AA Vehicle,(HAG),Sniper,28,1505,CV,2,55,"6""w",3,3,3,0,3W,6,AAAAAA,3,SSS,+1,5,4,34,40,"ARS,CASE,FLK3/2/2,SRCH,TUR(3/3/3,FLK3/2/2)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,1164,HAG/40 - 6x5 @ 8/16/24,HAG/40,6,5,8/16/24,,,,,,,,,,,,,,,,,,,,,,,,,5x1,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Taurian Concordat,"Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat"
Vehicle,Aithon Assault Transport,Aithon Assault Transport,,Aithon Assault Transport,,Missile Boat,45,1666,CV,4,100,"6""t",4,4,0,0,3T,7,AAAAAAA,5,SSSSS,+1,5,4,54,63,"ARS,ARTLTC-1,CASE,IT10,SRCH,TUR(4/4/-)",TUR,,,,,,IT10,,ARTLTC-1,,,,,,,"TUR, IT10, ARTLTC-1",https://i.ibb.co/1Lm0tJw/gabriel-3050u.png,1166,"Long Tom Cannon - 1x20 @ 6/13/20
Medium Pulse Laser - 4x7 @ 4/8/12",Long Tom Cannon,1,20,6/13/20,Medium Pulse Laser,4,7,4/8/12,,,,,,,,,,,,,,,,,,,,,1x20,4x7,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Taurian Concordat,"Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat","Fronc Reaches, Taurian Concordat"
Vehicle,Ajax Assault Tank (Sealed),Ajax Assault Tank (Sealed),,Ajax Assault Tank,(Sealed),Missile Boat,47,1551,CV,4,90,"6""t",4,3,2,0,3T,10,AAAAAAAAAA,5,SSSSS,+1,6,5,47,56,"C3S,CASE,ECM,IF1,MHQ1,SEAL,SRCH,TOR1/1/-,TUR(4/3/2,IF1,TOR1/1/-)",TUR,,,ECM,,IF1,,,,,,,,,,"TUR, ECM, IF1",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,2807,"MML 9 - 1x5 @ 3/14/21
ER Large Laser - 1x8 @ 7/14/19
Medium Pulse Laser - 2x6 @ 2/4/6",MML 9,1,5,3/14/21,ER Large Laser,1,8,7/14/19,Medium Pulse Laser,2,6,2/4/6,,,,,,,,,,,,,,,,,1x5,1x8,2x6,,,,,,,,,,,,,,,,
Vehicle,Ajax Assault Tank A,Ajax Assault Tank A,,Ajax Assault Tank,A,Juggernaut,53,2042,CV,4,90,"6""t",7,7,0,0,3T,10,AAAAAAAAAA,5,SSSSS,+1,6,5,53,63,"C3S,CASE,ECM,MHQ1,OMNI,SRCH,TUR(7/7/-)",TUR,,,ECM,,,,,,,,,,,,"TUR, ECM",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,2805,"Rotary AC/5 - 18x5 @ 5/10/15
ER Small Laser - 1x3 @ 2/4/5",Rotary AC/5,18,5,5/10/15,ER Small Laser,1,3,2/4/5,,,,,,,,,,,,,,,,,,,,,18x5,1x3,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Draconis Combine, Federated Suns, Lyran Alliance, Mercenary","Draconis Combine, Federated Suns, Lyran Commonwealth, Mercenary","Draconis Combine, Federated Suns, Lyran Commonwealth, Mercenary","Draconis Combine, Federated Suns, Lyran Commonwealth, Mercenary","Draconis Combine, Federated Suns, Lyran Commonwealth, Mercenary, Tamar Pact, Vesper Marches"
Vehicle,Ajax Assault Tank B,Ajax Assault Tank B,,Ajax Assault Tank,B,Missile Boat,56,1706,CV,4,90,"6""t",3,5,5,0,3T,10,AAAAAAAAAA,5,SSSSS,+1,6,5,56,67,"C3M,CASE,IF4,MHQ5,OMNI,SRCH,TAG,TUR(3/5/5,IF4)",TUR,,,,,IF4,,,,,HQ,,,,,"TUR, IF4, HQ",https://i.ibb.co/KLhB9QZ/savannah-master-hovercraft-rg.png,9452,"PPC - 1x10 @ 6/12/18
LRM 15 - 6x5 @ 7/14/21",PPC,1,10,6/12/18,LRM 15,6,5,7/14/21,,,,,,,,,,,,,,,,,,,,,1x10,6x5,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Lyran Commonwealth, Mercenary","Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Kell Hounds, Lyran Commonwealth, Mercenary","Clan Wolf, Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Clan Protectorate, Inner Sphere General, Kell Hounds, Mercenary, Wolf Empire, Wolf's Dragoons"
