name,internal_name,display_name,short_range,medium_range,long_range,extreme_range,minimum_range,rack_size,damage,heat,tonnage,criticals,ammo_type,weapon_class,parent_class,file_path,tech_base,bv,cost
Improved LRM 10,,CLImprovedLRM10,7,14,21,28,6,10,10.0,4,2.5,1,T_LRM_IMP,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLImprovedLRM10.java,CLAN,90,100000
Improved LRM 15,,CLImprovedLRM15,7,14,21,28,6,15,15.0,5,3.5,2,T_LRM_IMP,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLImprovedLRM15.java,CLAN,136,175000
Improved LRM 20,,CLImprovedLRM20,7,14,21,28,6,20,20.0,6,5.0,4,T_LRM_IMP,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLImprovedLRM20.java,CLAN,181,250000
Improved LRM 5,,CLImprovedLRM5,7,14,21,28,6,5,5.0,2,1.0,1,T_LRM_IMP,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLImprovedLRM5.java,CLAN,45,30000
LRM 1,CLLRM1,,7,14,21,28,0,1,1.0,0,0.4,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM1.java,CLAN,17,0
LRM 10,CLLRM10,Clan LRM-10,7,14,21,28,0,10,10.0,4,2.5,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM10.java,CLAN,109,100000
LRM 10 (I-OS),CLLRM10 (IOS),Clan IOS LRM-10,7,14,21,28,0,10,10.0,4,2.0,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM10IOS.java,CLAN,22,80000
LRM 10 (OS),CLLRM10 (OS),Clan OS LRM-10,7,14,21,28,0,10,10.0,4,3.0,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM10OS.java,CLAN,22,50000
LRM 11,CLLRM11,,7,14,21,28,0,11,11.0,0,2.2,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM11.java,CLAN,139,0
LRM 12,CLLRM12,,7,14,21,28,0,12,12.0,0,2.4,0,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLLRM12.java,CLAN,141,0
