Common,unitType,FullName,Armor,ArmorIcons,Structure,StructureIcons,Movement,TMM,BasePV,RegPV,VetPV,RegSkill,VetSkill,SpecialRules,name,model,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7
0,Tank,Puma Assault Tank PAT-001,6,AAAAAA,5,SSSSS,3T,+1,0,0,0,6,5,,Puma Assault Tank,PAT-001,Medium Laser,2,5,3/6/9,SRM 4,3,2,3/6/9,LRM 20,5,5,7/14/21,PPC,1,10,6/12/18,,,,,,,,,,,,,2x5,3x2,5x5,1x10,,,
0,Tank,Puma Assault Tank PAT-002,6,AAAAAA,5,SSSSS,3T,+1,0,0,0,6,5,,Puma Assault Tank,PAT-002,Medium Laser,2,5,3/6/9,SRM 4,3,2,3/6/9,LRM 20,5,5,7/14/21,PPC,1,10,6/12/18,,,,,,,,,,,,,2x5,3x2,5x5,1x10,,,
0,SupportTank,Air Car ,1,A,2,SS,11H,+4,0,0,0,6,5,Special: No Turret,Air Car,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tank,Ground Car ,0,,1,S,10W,+4,0,0,0,6,5,Special: No Turret,Ground Car,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tank,Heavy Transport B1 ,2,AA,1,S,5W,+2,0,0,0,6,5,"Special: No Turret, APC2",Heavy Transport B1,None,SRM 2,2,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,2x2,,,,,,
0,Tank,Hover Scout ,1,A,1,S,12H,+4,0,0,0,6,5,,Hover Scout,None,Medium Laser,1,5,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,
0,Tank,Hover Tank ,3,AAA,3,SSS,9H,+3,0,0,0,6,5,Special: APC1,Hover Tank,None,PPC,1,10,6/12/18,SRM 6,4,2,3/6/9,,,,,,,,,,,,,,,,,,,,,1x10,4x2,,,,,
0,Tank,Jeep ,1,A,1,S,7W,+3,0,0,0,6,5,"Special: No Turret, APC1",Jeep,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tank,Jet Sled ,0,,1,S,8T,+3,0,0,0,6,5,Special: No Turret,Jet Sled,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tank,MASH Truck (Small),2,AA,1,S,5W,+2,0,0,0,6,5,Special: APC1,MASH Truck,(Small),Small Laser,2,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,2x3,,,,,,
0,Tank,Mobile Long Tom Artillery (+Carriages)(Unofficial),11,AAAAAAAAAAA,4,SSSS,2T,0,0,0,0,6,5,"Special: No Turret, ART-Long Tom1",Mobile Long Tom Artillery,(+Carriages)(Unofficial),Machine Gun,4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,
0,Tank,Speeder ,1,A,1,S,18W,+5,0,0,0,6,5,Special: No Turret,Speeder,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Tank,Weapons Carrier A (LL),1,A,2,SS,6H,+2,0,0,0,6,5,Special: APC2,Weapons Carrier A,(LL),Large Laser,1,8,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,1x8,,,,,,
0,Tank,AC/2 Carrier ,2,AA,3,SSS,3T,+1,0,0,0,6,5,Special: No Turret,AC/2 Carrier,None,AC/2,5,2,8/16/24,,,,,,,,,,,,,,,,,,,,,,,,,5x2,,,,,,
