Common,unitType,FullName,Armor,ArmorIcons,Structure,StructureIcons,Movement,TMM,BasePV,RegPV,VetPV,RegSkill,VetSkill,SpecialRules,name,model,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7
0,BattleArmor,Achileus Light Battle Armor [David](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm",Achileus Light Battle Armor,[David](Sqd4),Gauss Rifle [David],4,1,3/5/8,,,,,,,,,,,,,,,,,,,,,,,,,4x1,,,,,,
0,BattleArmor,Achileus Light Battle Armor [Flamer](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm",Achileus Light Battle Armor,[Flamer](Sqd4),Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,
0,BattleArmor,Achileus Light Battle Armor [Laser](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm",Achileus Light Battle Armor,[Laser](Sqd4),Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,
0,BattleArmor,Achileus Light Battle Armor [MG](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm",Achileus Light Battle Armor,[MG](Sqd4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BattleArmor,Achileus Light Battle Armor [TAG](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm, TAG9",Achileus Light Battle Armor,[TAG](Sqd4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BattleArmor,Achileus Light Battle Armor (WoB)(Sqd6),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm, ECM6",Achileus Light Battle Armor,(WoB)(Sqd6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BattleArmor,Cavalier Battle Armor [Flamer](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm",Cavalier Battle Armor,[Flamer](Sqd4),Flamer [BA],4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,
0,BattleArmor,Cavalier Battle Armor [Laser](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm",Cavalier Battle Armor,[Laser](Sqd4),Small Laser,4,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x3,,,,,,
0,BattleArmor,Cavalier Battle Armor [MG](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm",Cavalier Battle Armor,[MG](Sqd4),Machine Gun (Medium),4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,
0,BattleArmor,Cavalier Battle Armor [SRM](Sqd4),0,,1,S,1J,+1,0,0,0,6,5,"Special: No Turret, Mechanized, Nimble, Spotter, Swarm",Cavalier Battle Armor,[SRM](Sqd4),SRM 1,4,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,
