UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,TUR,AMS,ECM2,ECM6,PRB,IF,APC,CAR,ART,STL,MHQ,,,,,,SpecialRules,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7
Vehicle,AC 2 Carrier (LB-X),AC 2 Carrier (LB-X),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,LB 2-X AC (Slug),5,2,9/18/27,-- OR --,,,,LB 2-X AC (Pellet),5,1,9/18/27,,,,,,,,,,,,,,,,,5x2,,5x1,,,,
Vehicle,APC (Hover LRM),APC (Hover LRM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LRM 5,1,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,
Vehicle,APC (Hover MG),APC (Hover MG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,3,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,3x2,,,,,,
Vehicle,APC (Hover SRM),APC (Hover SRM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SRM 2,1,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,1x2,,,,,,
Vehicle,APC (Hover),APC (Hover),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,2,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,2x2,,,,,,
Vehicle,APC (Tracked LRM),APC (Tracked LRM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LRM 5,1,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,
Vehicle,APC (Tracked MG),APC (Tracked MG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,3,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,3x2,,,,,,
Vehicle,APC (Tracked SRM),APC (Tracked SRM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SRM 2,1,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,1x2,,,,,,
Vehicle,APC (Tracked),APC (Tracked),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,1,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,1x2,,,,,,
Vehicle,APC (Wheeled LRM),APC (Wheeled LRM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,LRM 5,1,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,
Vehicle,APC (Wheeled MG),APC (Wheeled MG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,4,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,4x2,,,,,,
Vehicle,APC (Wheeled SRM),APC (Wheeled SRM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,SRM 2,1,2,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,1x2,,,,,,
Vehicle,APC (Wheeled),APC (Wheeled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,2,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,2x2,,,,,,
Vehicle,Aeron Strike VTOL,Aeron Strike VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1,ER Large Laser,1,8,7/14/19,,,,,,,,,,,,,,,,,,,,,,,,,1x8,,,,,,
Vehicle,Aeron Strike VTOL (BAP),Aeron Strike VTOL (BAP),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,1,ER Large Laser,1,8,7/14/19,,,,,,,,,,,,,,,,,,,,,,,,,1x8,,,,,,
Vehicle,Aesir Medium AA Vehicle,Aesir Medium AA Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan LB 2-X AC (Slug),4,2,10/20/30,-- OR --,,,,Clan LB 2-X AC (Pellet),4,1,10/20/30,,,,,,,,,,,,,,,,,4x2,,4x1,,,,
Vehicle,Aithon Assault Transport,Aithon Assault Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan Medium Pulse Laser,4,7,4/8/12,,,,,,,,,,,,,,,,,,,,,,,,,4x7,,,,,,
Vehicle,Ajax Assault Tank (Sealed),Ajax Assault Tank (Sealed),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,2,ER Large Laser,1,8,7/14/19,Medium Pulse Laser,2,6,2/4/6,,,,,,,,,,,,,,,,,,,,,1x8,2x6,,,,,
Vehicle,Ajax Assault Tank A,Ajax Assault Tank A,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1,ER Small Laser,1,3,2/4/5,,,,,,,,,,,,,,,,,,,,,,,,,1x3,,,,,,
Vehicle,Ajax Assault Tank B,Ajax Assault Tank B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,PPC,1,10,6/12/18,LRM 15,9,5,7/14/21,,,,,,,,,,,,,,,,,,,,,1x10,9x5,,,,,
Vehicle,Ajax Assault Tank C,Ajax Assault Tank C,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,3,Streak SRM 6,24,2,3/6/9,MRM 40,4,5,3/8/15,PPC,1,10,6/12/18,,,,,,,,,,,,,,,,,24x2,4x5,1x10,,,,
Vehicle,Ajax Assault Tank D,Ajax Assault Tank D,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,2,Light Machine Gun,4,1,2/4/6,ER Medium Laser,2,5,4/8/12,,,,,,,,,,,,,,,,,,,,,4x1,2x5,,,,,
Vehicle,Ajax Assault Tank Prime,Ajax Assault Tank Prime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Gauss Rifle,1,15,7/15/22,Medium Pulse Laser,2,6,2/4/6,Streak SRM 4,4,2,3/6/9,,,,,,,,,,,,,,,,,1x15,2x6,4x2,,,,
Vehicle,Alacorn Heavy Tank Mk III,Alacorn Heavy Tank Mk III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,Alacorn Heavy Tank Mk IV,Alacorn Heavy Tank Mk IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,Alacorn Heavy Tank Mk VI,Alacorn Heavy Tank Mk VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Gauss Rifle,3,15,7/15/22,,,,,,,,,,,,,,,,,,,,,,,,,3x15,,,,,,
Vehicle,Alacorn Heavy Tank Mk VII,Alacorn Heavy Tank Mk VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,Anat APC,Anat APC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan Micro Pulse Laser,2,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,2x3,,,,,,
Vehicle,Anhur P-Stealth,Anhur P-Stealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,1,Clan LRM 15,2,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,2x5,,,,,,
Vehicle,Anhur Transport,Anhur Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan ER Medium Laser,1,7,5/10/15,Clan Medium Pulse Laser,2,7,4/8/12,,,,,,,,,,,,,,,,,,,,,1x7,2x7,,,,,
Vehicle,Anhur Transport (BA),Anhur Transport (BA),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1,Clan ER Medium Laser,2,7,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,2x7,,,,,,
Vehicle,Apostle Self-Propelled Artillery,Apostle Self-Propelled Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Small Laser,1,3,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,1x3,,,,,,
Vehicle,Ares Medium Tank,Ares Medium Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Clan LRM 10,2,5,7/14/21,Clan LRM 15,3,5,7/14/21,Clan ER Large Laser,1,10,8/15/25,,,,,,,,,,,,,,,,,2x5,3x5,1x10,,,,
Vehicle,Ares Medium Tank (Plasma),Ares Medium Tank (Plasma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan LRM 15,6,5,7/14/21,,,,,,,,,,,,,,,,,,,,,,,,,6x5,,,,,,
Vehicle,Armored Personnel Carrier (Hover Primitive),Armored Personnel Carrier (Hover Primitive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,1,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,1x2,,,,,,
Vehicle,Armored Personnel Carrier (Tracked Primitive),Armored Personnel Carrier (Tracked Primitive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,2,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,2x2,,,,,,
Vehicle,Armored Personnel Carrier (Wheeled Primitive),Armored Personnel Carrier (Wheeled Primitive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,2,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,2x2,,,,,,
Vehicle,Asher Hover Scout,Asher Hover Scout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Machine Gun,3,2,1/2/3,Flamer,1,2,1/2/3,LRM 5,2,5,7/14/21,,,,,,,,,,,,,,,,,3x2,1x2,2x5,,,,
Vehicle,Asshur Artillery Spotter,Asshur Artillery Spotter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan ER Medium Laser,2,7,5/10/15,Clan Streak SRM 6,6,2,4/8/12,,,,,,,,,,,,,,,,,,,,,2x7,6x2,,,,,
Vehicle,Asshur Fast Reconnaissance Vehicle,Asshur Fast Reconnaissance Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan Streak SRM 6,6,2,4/8/12,Clan ER Medium Laser,2,7,5/10/15,,,,,,,,,,,,,,,,,,,,,6x2,2x7,,,,,
Vehicle,Asshur Fast Reconnaissance Vehicle (PAC),Asshur Fast Reconnaissance Vehicle (PAC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,Assuan Armored Bike,Assuan Armored Bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,Athena Combat Vehicle,Athena Combat Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Clan Gauss Rifle,2,15,7/15/22,Clan LRM 10,1,5,7/14/21,Clan ER Medium Laser,2,7,5/10/15,,,,,,,,,,,,,,,,,2x15,1x5,2x7,,,,
Vehicle,Athena Combat Vehicle (HAG),Athena Combat Vehicle (HAG),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,1,Clan ER Medium Laser,2,7,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,2x7,,,,,,
Vehicle,Auxiliary Defense Tank ADT-1,Auxiliary Defense Tank ADT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Machine Gun,1,2,1/2/3,Medium Rifle,1,6,5/10/15,,,,,,,,,,,,,,,,,,,,,1x2,1x6,,,,,
Vehicle,Auxiliary Defense Tank ADT-2,Auxiliary Defense Tank ADT-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Machine Gun,1,2,1/2/3,,,,,,,,,,,,,,,,,,,,,,,,,1x2,,,,,,
Vehicle,Axel Heavy Tank IIC,Axel Heavy Tank IIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,2,Clan Large Pulse Laser,1,10,6/14/20,Clan LRM 15,6,5,7/14/21,,,,,,,,,,,,,,,,,,,,,1x10,6x5,,,,,
Vehicle,Axel Heavy Tank IIC (XL),Axel Heavy Tank IIC (XL),,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,2,Clan ER Large Laser,1,10,8/15/25,Clan LRM 15,6,5,7/14/21,,,,,,,,,,,,,,,,,,,,,1x10,6x5,,,,,
Vehicle,Axel Heavy Tank Mk 1,Axel Heavy Tank Mk 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Machine Gun,2,2,1/2/3,LRM 10,1,5,7/14/21,,,,,,,,,,,,,,,,,,,,,2x2,1x5,,,,,
Vehicle,Axel Heavy Tank Mk 2,Axel Heavy Tank Mk 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Machine Gun,2,2,1/2/3,Vehicle Flamer,1,2,1/2/3,LRM 10,1,5,7/14/21,,,,,,,,,,,,,,,,,2x2,1x2,1x5,,,,
Vehicle,Badger (C) Tracked Transport A,Badger (C) Tracked Transport A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Clan ER Small Laser,3,5,2/4/6,,,,,,,,,,,,,,,,,,,,,,,,,3x5,,,,,,
Vehicle,Badger (C) Tracked Transport B,Badger (C) Tracked Transport B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan Medium Pulse Laser,1,7,4/8/12,Clan Streak SRM 2,2,2,4/8/12,,,,,,,,,,,,,,,,,,,,,1x7,2x2,,,,,
Vehicle,Badger (C) Tracked Transport C,Badger (C) Tracked Transport C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Clan LRM 10,1,5,7/14/21,Clan ER Small Laser,1,5,2/4/6,,,,,,,,,,,,,,,,,,,,,1x5,1x5,,,,,
