name,internal_name,display_name,lookup_names,short_range,medium_range,long_range,extreme_range,minimum_range,rack_size,damage,cluster_damage,cluster_size,heat,tonnage,criticals,ammo_type,weapon_class,parent_class,file_path,tech_base,bv,cost,is_lbx
,ACAPHandler,,['ACAPHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,ACWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ACAPHandler.java,IS,0,0,False
,ACBayHandler,,['ACBayHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,BayWeaponHandler,AmmoBayWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ACBayHandler.java,IS,0,0,False
,ACCaselessHandler,,['ACCaselessHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,ACWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ACCaselessHandler.java,IS,0,0,False
,ACFlakHandler,,['ACFlakHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,LBXHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ACFlakHandler.java,IS,0,0,False
,ACFlechetteHandler,,['ACFlechetteHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ACFlechetteHandler.java,IS,0,0,False
,ACIncendiaryHandler,,['ACIncendiaryHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,ACWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ACIncendiaryHandler.java,IS,0,0,False
,ACTracerHandler,,['ACTracerHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoWeaponHandler,ACWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ACTracerHandler.java,IS,0,0,False
,ACWeaponHandler,,['ACWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ACWeaponHandler.java,IS,0,0,False
,ADAMissileWeaponHandler,,['ADAMissileWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,MissleWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ADAMissileWeaponHandler.java,IS,0,0,False
,AdvancedSRMHandler,,['AdvancedSRMHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,MissileWeaponHandler,SRMHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AdvancedSRMHandler.java,IS,0,0,False
Alamo Missile,AlamoMissileWeapon,,"['Alamo Missile', 'AlamoMissileWeapon']",6,12,24,40,0,0,10.0,0.0,0,0,0.0,0,AmmoType,AmmoWeapon,CapitalMissileWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AlamoMissileWeapon.java,IS,0,0,False
Altitude Bomb,AltitudeBombAttack,,"['Altitude Bomb', 'AltitudeBombAttack']",0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AltitudeBombAttack.java,IS,0,0,False
,AmmoBayWeaponHandler,,['AmmoBayWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,BayWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AmmoBayWeaponHandler.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AmmoWeapon.java,IS,0,0,False
,AmmoWeaponHandler,,['AmmoWeaponHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AmmoWeaponHandler.java,IS,0,0,False
,AR10Handler,,['AR10Handler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AR10Handler.java,IS,0,0,False
,,,[],0,0,0,0,0,0,5.0,0.0,0,0,0.0,0,,,,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\AreaEffectHelper.java,IS,0,0,False
,ArtilleryBayWeaponDirectFireHandler,,['ArtilleryBayWeaponDirectFireHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,AmmoBayWeaponHandler,ArtilleryBayWeaponIndirectFireHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\ArtilleryBayWeaponDirectFireHandler.java,IS,0,0,False
